全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
182010,福井県,フクイケン,Fukui,,,,福井市,フクイシ,Fukui-shi,,,,1947-04-17,,
182028,福井県,フクイケン,Fukui,,,,敦賀市,ツルガシ,Tsuruga-shi,,,,1947-04-17,,
182044,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,1947-04-17,,
182052,福井県,フクイケン,Fukui,,,,大野市,オオノシ,Ono-shi,,,,1947-04-17,,
182061,福井県,フクイケン,Fukui,,,,勝山市,カツヤマシ,Katsuyama-shi,,,,1947-04-17,,
182079,福井県,フクイケン,Fukui,,,,鯖江市,サバエシ,Sabae-shi,,,,1947-04-17,,
182087,福井県,フクイケン,Fukui,,,,あわら市,アワラシ,Awara-shi,,,,1947-04-17,,
182095,福井県,フクイケン,Fukui,,,,越前市,エチゼンシ,Echizen-shi,,,,1947-04-17,,
182109,福井県,フクイケン,Fukui,,,,坂井市,サカイシ,Sakai-shi,,,,1947-04-17,,
183229,福井県,フクイケン,Fukui,吉田郡,ヨシダグン,Yoshida-gun,永平寺町,エイヘイジチョウ,Eiheiji-cho,,,,1947-04-17,,
183822,福井県,フクイケン,Fukui,今立郡,イマダテグン,Imadate-gun,池田町,イケダチョウ,Ikeda-cho,,,,1947-04-17,,
184047,福井県,フクイケン,Fukui,南条郡,ナンジョウグン,Nanjo-gun,南越前町,ミナミエチゼンチョウ,Minamiechizen-cho,,,,1947-04-17,,
184233,福井県,フクイケン,Fukui,丹生郡,ニュウグン,Nyu-gun,越前町,エチゼンチョウ,Echizen-cho,,,,1947-04-17,,
184420,福井県,フクイケン,Fukui,三方郡,ミカタグン,Mikata-gun,美浜町,ミハマチョウ,Mihama-cho,,,,1947-04-17,,
184811,福井県,フクイケン,Fukui,大飯郡,オオイグン,Oi-gun,高浜町,タカハマチョウ,Takahama-cho,,,,1947-04-17,,
184837,福井県,フクイケン,Fukui,大飯郡,オオイグン,Oi-gun,おおい町,オオイチョウ,Oi-cho,,,,1947-04-17,,
185019,福井県,フクイケン,Fukui,三方上中郡,ミカタカミナカグン,Mikatakaminaka-gun,若狭町,ワカサチョウ,Wakasa-cho,,,,1947-04-17,,
